iter	RMSE
0	0.8979662391
1	0.8717425344
2	0.8466014855
3	0.8225410969
4	0.7985982144
5	0.7751999098
6	0.7524643088
7	0.7307289837
8	0.7093108902
9	0.6885793734
10	0.6683863288
11	0.648704361
12	0.6296508305
13	0.6115388013
14	0.5936614652
15	0.5763016424
16	0.5594881678
17	0.5432310763
18	0.5274121066
19	0.5119780339
20	0.4970461355
21	0.4825516669
22	0.4686248933
23	0.4552815046
24	0.4420440148
25	0.4292753949
26	0.416761715
27	0.4045700331
28	0.3928033613
29	0.3814797704
30	0.3703234871
31	0.3596114013
32	0.3492534011
33	0.3391531339
34	0.3293924408
35	0.3198248852
36	0.3107115427
37	0.3016534382
38	0.2929869704
39	0.2845968412
40	0.2763511642
41	0.2683555054
42	0.2605873199
43	0.2530930425
44	0.2457397404
45	0.2386895825
46	0.2318791767
47	0.2252731092
48	0.2189237035
49	0.2126393587
50	0.2065793111
51	0.2006745771
52	0.1948921814
53	0.1893651271
54	0.1839717334
55	0.1787829872
56	0.1736835763
57	0.1687029013
58	0.1639280137
59	0.159302339
60	0.1548331507
61	0.1504936679
62	0.1462715626
63	0.1422310362
64	0.1383074435
65	0.1343942699
66	0.1306172787
67	0.1269908531
68	0.1234412505
69	0.1199935241
70	0.1167999512
71	0.1136061037
72	0.1105083043
73	0.10751706
74	0.1046461803
75	0.1018298777
76	0.09912323407
77	0.09647270747
78	0.09393139063
79	0.09142759026
80	0.08902376089
81	0.08670064137
82	0.08441511589
83	0.08223543884
84	0.08010136788
85	0.07804770303
86	0.0760603095
87	0.0741354498
88	0.07227118926
89	0.07046958114
90	0.06877788968
91	0.06715815588
92	0.06555092501
93	0.06400706962
94	0.06248794892
95	0.06103038626
96	0.05963215311
97	0.05828039941
98	0.05694963528
99	0.05557924856
100	0.05434882835
101	0.05317158256
102	0.05203507901
103	0.05093811996
104	0.04987631213
105	0.04886800746
106	0.04781309139
107	0.04687139483
108	0.04597090242
109	0.0450921402
110	0.04425178092
111	0.04336177957
112	0.04257469553
113	0.04182487659
114	0.04110110248
115	0.04041711498
116	0.03975916282
117	0.03897643231
118	0.0383739178
119	0.03778171947
120	0.0372260731
121	0.03669335229
122	0.03617943579
123	0.03568868235
124	0.03520625377
125	0.03475742765
126	0.0342555047
127	0.03373127049
128	0.03333148581
129	0.03294362835
130	0.03258150563
131	0.03223303687
132	0.0319071788
133	0.0313999042
134	0.03109016235
135	0.03079645099
136	0.0305158854
137	0.03021919505
138	0.02996186351
139	0.02972149908
140	0.0294901762
141	0.02926475718
142	0.0290560026
143	0.02886013689
144	0.02865058647
145	0.02846372588
146	0.02827603379
147	0.02811610955
148	0.02782274786
149	0.02767664741
150	0.02752146029
151	0.02736726296
152	0.02722516734
153	0.02710334884
154	0.02697308294
155	0.02684156223
156	0.0267321119
157	0.02661861288
158	0.02651138156
159	0.02641574458
160	0.02632069868
161	0.02623846588
162	0.02615112537
163	0.0260650362
164	0.02598185669
165	0.02589122105
166	0.02580239399
167	0.02569768181
168	0.02562681625
169	0.02554837733
170	0.02548301059
171	0.0254167471
172	0.02535397765
173	0.02528974467
174	0.0252483539
175	0.02519962279
176	0.02515821271
177	0.02510443379
178	0.02505920688
179	0.02499832527
180	0.02495804007
181	0.0249205774
182	0.02488034346
183	0.02483242955
184	0.0247881204
185	0.02475734748
186	0.02472739773
187	0.02468764049
188	0.0246517305
189	0.02461785423
190	0.0245775614
191	0.02453010994
192	0.02450427241
193	0.02447524863
194	0.02444607227
195	0.02442000285
196	0.02437922745
197	0.02434869506
198	0.02431658076
199	0.02429350031
200	0.02426647829
201	0.02424426209
202	0.02423282627
203	0.02421313699
204	0.02419067554
205	0.02416245895
206	0.02413515084
207	0.02411370716
208	0.02408383356
209	0.0240640566
210	0.02405601123
211	0.02402776334
212	0.02401001232
213	0.02398284431
214	0.02397296303
215	0.02394820076
216	0.02392548249
217	0.02390946881
218	0.02389626307
219	0.02387833558
220	0.02386195826
221	0.02384396029
222	0.02381828266
223	0.02380321616
224	0.02379735089
225	0.02377975401
226	0.02376287877
227	0.02375081685
228	0.02372621004
229	0.02371676734
230	0.02369810025
231	0.02367775506
232	0.02367025031
233	0.02365701864
234	0.02364618961
235	0.02363046906
236	0.02362336209
237	0.02360209881
238	0.02358756786
239	0.02357374772
240	0.02355511907
241	0.02354367063
242	0.02352081994
243	0.02350790038
244	0.02349397768
245	0.02348537015
246	0.02346608222
247	0.02345554059
248	0.02344877263
249	0.02343653873
250	0.02342902058
251	0.02342184698
252	0.02341541978
253	0.02339937353
254	0.02338907223
255	0.02338212051
256	0.02337359467
257	0.02336823683
258	0.02335729235
259	0.02334728868
260	0.02333419483
261	0.02332765509
262	0.0233192752
263	0.0233073318
264	0.02329152139
265	0.02327338238
266	0.0232648325
267	0.02325309669
268	0.02322957448
269	0.02321708248
270	0.02320936374
271	0.023203981
272	0.02319353271
273	0.02318967764
274	0.02318174374
275	0.02317405806
276	0.023170017
277	0.02315563729
278	0.02314735902
279	0.02314217385
280	0.02313567992
281	0.02312796636
282	0.02312386933
283	0.0231170642
284	0.02311024468
285	0.02310375042
286	0.02309851989
287	0.02309001091
288	0.02308307438
289	0.02307737538
290	0.02307271933
291	0.02306846909
292	0.02306176394
293	0.02305486647
294	0.02303854341
295	0.02303265868
296	0.02302951151
297	0.02302285802
298	0.02301696751
299	0.0230105777
300	0.02300267603
301	0.02299190523
302	0.02298838483
303	0.02298311182
304	0.0229780824
305	0.02297523198
306	0.02297063927
307	0.02296546838
308	0.02296186669
309	0.02295630097
310	0.0229513319
311	0.02294762886
312	0.02293828963
313	0.02292320423
314	0.02292099511
315	0.02291697749
316	0.02289934404
317	0.02289394441
318	0.0228909061
319	0.02288852627
320	0.02288470937
321	0.0228818587
322	0.02287822664
323	0.02287423785
324	0.02286907243
325	0.02286611095
326	0.02285622405
327	0.02285256845
328	0.02284922545
329	0.02284076361
330	0.02283895601
331	0.02283505313
332	0.02282301045
333	0.02281520453
334	0.02281234815
335	0.02279813274
336	0.02279442255
337	0.02279150142
338	0.02278975731
339	0.02278612245
340	0.0227843948
341	0.02276882099
342	0.02276174294
343	0.02275719168
344	0.02275454822
345	0.02274798362
346	0.02274431037
347	0.02274170409
348	0.02274026213
349	0.02273682004
350	0.02273538613
351	0.02273173787
352	0.02272798541
353	0.02272581068
354	0.02271677821
355	0.02271484295
356	0.02271245308
357	0.02270944048
358	0.02270804551
359	0.02270635004
360	0.02269015627
361	0.02268746683
362	0.02244578754
363	0.02244396046
364	0.02217576395
365	0.02217220783
366	0.02217081987
367	0.02216754907
368	0.02216489111
369	0.02216360448
370	0.022158937
371	0.02215714011
372	0.02215234614
373	0.02215111297
374	0.02213751227
375	0.0221369384
376	0.02212936492
377	0.02212435551
378	0.02212329657
379	0.02212104182
380	0.02211636102
381	0.02211218935
382	0.0221068443
383	0.02208749455
384	0.02208617887
385	0.02208291835
386	0.02208184394
387	0.02207922005
388	0.02207813699
389	0.02205658995
390	0.02204552773
391	0.02203514838
392	0.02203337829
393	0.02203208948
394	0.0220311151
395	0.02202979219
396	0.02202839118
397	0.02202611496
398	0.02201881775
399	0.02201766526
400	0.0220097969
401	0.02200708481
402	0.02199581383
403	0.02199416059
404	0.02198553923
405	0.02173973512
406	0.02173820603
407	0.02159035328
408	0.02157152186
409	0.0215580819
410	0.02155718
411	0.02133866915
412	0.02133763291
413	0.02132707372
414	0.02132500815
415	0.02132221221
416	0.02131004492
417	0.02111066392
418	0.02110780135
419	0.02110634265
420	0.0211049564
421	0.02098046563
422	0.02097724545
423	0.02096705168
424	0.02095130107
425	0.02095041058
426	0.0209498486
427	0.02093989308
428	0.0209387478
429	0.02093287702
430	0.02090808419
431	0.02090526183
432	0.02090400257
433	0.02090301505
434	0.02090188746
435	0.02090059084
436	0.02089081666
437	0.02088858565
438	0.02087202927
439	0.02087089381
440	0.0208687918
441	0.02086819277
442	0.02086687503
443	0.02086142064
444	0.02086000671
445	0.02085948937
446	0.02085843814
447	0.02085800253
448	0.02085535624
449	0.02085418135
450	0.0208531268
451	0.02085119053
452	0.02085109829
453	0.02084066404
454	0.0208400928
455	0.02083531116
456	0.02083006539
457	0.02082196723
458	0.02081877451
459	0.02081534309
460	0.02081461368
461	0.02081360346
462	0.02080916848
463	0.02080840166
464	0.02079814893
465	0.02062613831
466	0.02062501745
467	0.02061300215
468	0.02061155884
469	0.02061048183
470	0.02060734557
471	0.02060339459
472	0.02060313785
473	0.02059261334
474	0.02059175223
475	0.02059091859
476	0.02057498214
477	0.0205743873
478	0.02057186711
479	0.02057118796
480	0.0205651403
481	0.02056462737
482	0.02056107764
483	0.02053992418
484	0.02053495
485	0.02053353034
486	0.02053313359
487	0.02052606934
488	0.02052411696
489	0.02041656792
490	0.02040811338
491	0.02039999221
492	0.02039877577
493	0.02039696687
494	0.02039399693
495	0.0203932803
496	0.02039265314
497	0.02039242227
498	0.02038916648
499	0.02038878961
500	0.02038787911
501	0.02038748065
502	0.02038697625
503	0.02038681461
504	0.02038611741
505	0.02038570251
506	0.02038551339
507	0.02037277218
508	0.02023179461
509	0.02023143016
510	0.02021399706
511	0.020213352
512	0.02021256458
513	0.02021102905
514	0.02021083952
515	0.02004788019
516	0.02004194604
517	0.02004172123
518	0.02004108122
519	0.02003999506
520	0.02002364908
521	0.02001928243
522	0.02001715019
523	0.02001452268
524	0.02001438571
525	0.02001397623
526	0.02001373357
527	0.02001128537
528	0.02001117438
529	0.02001063957
530	0.01999795895
531	0.01999759124
532	0.01999583987
533	0.01999335315
534	0.01999256989
535	0.01999203152
536	0.01998774355
537	0.01997607634
538	0.01997596496
539	0.0199753405
540	0.01997053683
541	0.01996481952
542	0.01996465625
543	0.01996431428
544	0.01996421155
545	0.01996206481
546	0.01996184454
547	0.01996173443
548	0.01995826293
549	0.01995762697
550	0.01994600169
551	0.01994574759
552	0.01993707937
553	0.019932885
554	0.01993284488
555	0.01993265552
556	0.01992921988
557	0.01992861656
558	0.01992278344
559	0.01992147018
560	0.0199213806
561	0.019920332
562	0.01991913886
563	0.01991580331
564	0.01991569324
565	0.01990524072
566	0.01990014112
567	0.01989997445
568	0.01989946445
569	0.01989660451
570	0.0198881811
571	0.01988805298
572	0.01988776621
573	0.01988359823
574	0.01988332709
575	0.01988276861
576	0.01988271718
577	0.01987941269
578	0.01987862761
579	0.01987855514
580	0.01987845227
581	0.01987730943
582	0.01987407798
583	0.01986986082
584	0.01986793814
585	0.01986747057
586	0.01986728391
587	0.01986721562
588	0.01986345394
589	0.0198617817
590	0.01986108271
591	0.01986106658
592	0.01986080688
593	0.01985132104
594	0.01985097764
595	0.01985081272
596	0.0198505867
597	0.01983920793
598	0.01983631182
599	0.01983580544
600	0.01983535531
601	0.01983422211
602	0.0198288912
603	0.0198246228
604	0.01981373598
605	0.01981370893
606	0.01980796208
607	0.01980643616
608	0.01980547839
609	0.01980527924
610	0.01980411771
611	0.01980153277
612	0.01979264218
613	0.01979223262
614	0.01979189179
615	0.0197898067
616	0.01978967873
617	0.01978949492
618	0.0197871472
619	0.01976933905
620	0.01976916776
621	0.01976528763
622	0.0197650347
623	0.01976436099
624	0.01975763952
625	0.01975739679
626	0.01975236118
627	0.01974998967
628	0.01974975028
629	0.01974936171
630	0.01974917655
631	0.01974901731
632	0.01974667808
633	0.01974618497
634	0.01974576632
635	0.01972922483
636	0.01972852141
637	0.0197285081
638	0.0197282288
639	0.01972790964
640	0.01972765111
641	0.01972683677
642	0.01959597566
643	0.01959566654
644	0.01959256268
645	0.01959127255
646	0.01959110675
647	0.01959109625
648	0.01959053483
649	0.01958820021
650	0.01958448856
651	0.01958187327
652	0.01957882921
653	0.01957869793
654	0.01957866837
655	0.01957831907
656	0.01957817825
657	0.01957330665
658	0.01957329743
659	0.01956972199
660	0.01954234529
661	0.01954230263
662	0.0195406834
663	0.01954057902
664	0.01954054385
665	0.01954044166
666	0.01953886178
667	0.01938320631
668	0.01938299191
669	0.01937269821
670	0.01937257848
671	0.01937234058
672	0.01937210714
673	0.01937205309
674	0.01926776077
675	0.01926753114
676	0.01926741408
677	0.01926731423
678	0.01926712736
679	0.01926566014
680	0.01925824162
681	0.01925822208
682	0.01925810835
683	0.01925787842
684	0.0192578173
685	0.01925772608
686	0.01925735176
687	0.01925586282
688	0.0192555323
689	0.01925547736
690	0.01925546428
691	0.01925520956
692	0.01925510397
693	0.0192528407
694	0.01924795862
695	0.01924789797
696	0.01924780726
697	0.0192477751
698	0.01924765036
699	0.019238891
700	0.01923876726
701	0.01923681177
702	0.01923677803
703	0.01923628774
704	0.01923620443
705	0.01923618208
706	0.01923615009
707	0.01923507448
708	0.01923494342
709	0.01923484677
710	0.01923048431
711	0.01923000946
712	0.01922307748
713	0.0192224588
714	0.01922216024
715	0.01922209386
716	0.01922160757
717	0.01922158626
718	0.01922157954
719	0.01922142423
720	0.01922138132
721	0.01922091892
722	0.01921963188
723	0.01921947044
724	0.01921670166
725	0.01921625023
726	0.01921609316
727	0.0192158117
728	0.01921566877
729	0.01921154832
730	0.01921152967
731	0.01921015419
732	0.01920993123
733	0.0192060358
734	0.01920343736
735	0.01920326191
736	0.01920275882
737	0.01920258527
738	0.01920245365
739	0.01920237098
740	0.01920194041
741	0.01920192055
742	0.01919928534
743	0.01919814388
744	0.01919657648
745	0.01919655991
746	0.01908548067
747	0.01908546494
748	0.01907925923
749	0.01907904154
750	0.01907723682
751	0.01907679344
752	0.01906035203
753	0.01906033599
754	0.01905508836
755	0.01905179743
756	0.01904490734
757	0.01904473182
758	0.01903476153
759	0.01903432883
760	0.01903413115
761	0.0190322512
762	0.01903047305
763	0.01902884081
764	0.01902841369
765	0.01902830174
766	0.0190282821
767	0.01902821944
768	0.01902814872
769	0.01902597141
770	0.01902595686
771	0.01902554475
772	0.01902523194
773	0.01902521787
774	0.01901448484
775	0.01901251885
776	0.01901227025
777	0.01901216822
778	0.01901216242
779	0.01901198135
780	0.01900750184
781	0.01900090602
782	0.01900069866
783	0.01900059576
784	0.01900039298
785	0.01900024757
786	0.0189993001
787	0.01899920868
788	0.01899713272
789	0.01899510238
790	0.01899508283
791	0.01898750555
792	0.01898740958
793	0.01897924503
794	0.01897913988
795	0.01882764338
796	0.01882534248
797	0.01882496929
798	0.0188227653
799	0.01882275949
800	0.0188213739
801	0.01882130001
802	0.01882121556
803	0.01882115488
804	0.01882106285
805	0.01882098598
806	0.01880923035
807	0.01880863454
808	0.01880847926
809	0.01880844453
810	0.0188080727
811	0.01880758255
812	0.01880716803
813	0.01880707794
814	0.01880696723
815	0.01880696099
816	0.01880256847
817	0.01880255324
818	0.01880248043
819	0.01880134115
820	0.01880091901
821	0.01880091029
822	0.01879712782
823	0.01879712156
824	0.01879622055
825	0.01879616994
826	0.01879609352
827	0.01879466836
828	0.01879454648
829	0.01878884629
830	0.01878392101
831	0.01878282401
832	0.0187811062
833	0.01878109542
834	0.01877560065
835	0.01877548777
836	0.01877547472
837	0.018775463
